post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
184531625.stop-petting-the-ai,2026-01-14T11:41:32.256Z,true,2026-01-14T11:41:32.449Z,2026-01-14T11:41:32.449Z,newsletter,everyone,Stop Petting the AI!,How to Use ChatGPT Without Becoming Its Emotional Support Human,
183779217.three-ai-tricks-i-use-that-actually,2026-01-07T11:35:48.400Z,true,2026-01-07T11:35:48.541Z,2026-01-07T11:35:48.541Z,newsletter,everyone,Three AI Tricks I Use (That Actually Work),I’m still procrastinating. The tools just make it look intentional.,
181879893.everything-is-brown,2025-12-17T11:53:12.786Z,true,2025-12-17T11:53:12.966Z,2025-12-17T11:53:12.966Z,newsletter,everyone,Everything Is Brown,Why Your Chatbot Needs a Reset,
181182367.the-joy-of-missing-out-an-email-manifesto,2025-12-10T12:03:54.930Z,true,2025-12-10T12:03:55.108Z,2025-12-10T12:03:55.108Z,newsletter,everyone,The Joy of Missing Out: An Email Manifesto for December,Email is someone else's to-do list colonizing your brain. ,
180564071.the-accidental-notetaker,2025-12-03T11:55:41.361Z,true,2025-12-03T11:55:41.479Z,2025-12-03T11:55:41.479Z,newsletter,everyone,The Accidental Notetaker,Future Me appreciates the upgrade.,
180013147.1-1-3-building-a-tech-career-on-what,2025-11-26T11:51:26.101Z,true,2025-11-26T11:51:26.243Z,2025-11-26T11:51:26.243Z,newsletter,everyone,1 + 1 = 3: Building a Tech Career on What You Already Know,For anyone who keeps thinking “maybe it’s time to pivot.”,
179280225.digital-craftsmanship,2025-11-19T11:07:25.413Z,true,2025-11-19T11:07:25.529Z,2025-11-19T11:07:25.529Z,newsletter,everyone,Digital Craftsmanship,The Map is Not the Terrain,
178680859.thinking-like-and-ecosystem,2025-11-12T11:27:06.778Z,true,2025-11-12T11:27:06.942Z,2025-11-12T11:27:06.942Z,newsletter,everyone,Thinking Like an Ecosystem,"Root, Branch, and Bloom.",
178007267.the-liminal-workplace,2025-11-05T12:02:48.675Z,true,2025-11-05T12:02:48.810Z,2025-11-05T12:02:48.810Z,newsletter,everyone,The Liminal Workplace,Change is hard. Bring snacks.,
177360408.the-rhetorical-machine,2025-10-29T11:00:47.985Z,true,2025-10-29T11:00:48.121Z,2025-10-29T11:00:48.121Z,newsletter,everyone,The Rhetorical Machine,What My Father the Salesman Taught Me About AI,
